Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Manchester City;36;27;5;4;93:32;61;86;;;;;;
2;Arsenal FC;36;25;6;5;83:42;41;81;;;;;;
3;Newcastle United;36;19;12;5;67:32;35;69;;;;;;
4;Manchester United;36;21;6;9;55:42;13;69;;;;;;
5;Liverpool FC;36;19;8;9;70:42;28;65;;;;;;
6;Brighton & Hove Albion;36;17;8;11;68:50;18;59;;;;;;
7;Tottenham Hotspur;36;17;6;13;65:59;6;57;;;;;;
8;Aston Villa;36;17;6;13;48:44;4;57;;;;;;
9;Brentford FC;36;13;14;9;54:45;9;53;;;;;;
10;Fulham FC;36;15;6;15;52:49;3;51;;;;;;
11;Chelsea FC;36;11;10;15;37:45;-8;43;;;;;;
12;Crystal Palace;36;11;10;15;37:46;-9;43;;;;;;
13;Wolverhampton Wanderers;36;11;7;18;30:52;-22;40;;;;;;
14;AFC Bournemouth;36;11;6;19;37:69;-32;39;;;;;;
15;West Ham United;36;10;7;19;38:52;-14;37;;;;;;
16;Nottingham Forest;36;8;10;18;36:67;-31;34;;;;;;
17;Everton FC;36;7;11;18;32:56;-24;32;;;;;;
18;Leeds United;36;7;10;19;46:71;-25;31;;;;;;
19;Leicester City;36;8;6;22;49:67;-18;30;;;;;;
20;Southampton FC;36;6;6;24;31:66;-35;24;;;;;;
