Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Manchester City;15;12;2;1;46:15;31;38;;;;;;
2;Arsenal FC;15;12;1;2;36:14;22;37;;;;;;
3;Newcastle United;15;8;6;1;33:12;21;30;;;;;;
4;Brighton & Hove Albion;15;8;3;4;25:17;8;27;;;;;;
5;Tottenham Hotspur;15;8;2;5;29:22;7;26;;;;;;
6;Manchester United;15;7;4;4;21:22;-1;25;;;;;;
7;Liverpool FC;15;6;5;4;27:16;11;23;;;;;;
8;Fulham FC;15;6;4;5;25:25;0;22;;;;;;
9;Chelsea FC;15;6;4;5;18:18;0;22;;;;;;
10;Crystal Palace;15;5;5;5;16:19;-3;20;;;;;;
11;Brentford FC;15;4;7;4;23:24;-1;19;;;;;;
12;Leeds United;15;5;4;6;23:25;-2;19;;;;;;
13;Aston Villa;15;5;3;7;16:22;-6;18;;;;;;
14;Leicester City;15;4;2;9;24:27;-3;14;;;;;;
15;West Ham United;15;4;2;9;13:20;-7;14;;;;;;
16;Everton FC;15;3;5;7;11:18;-7;14;;;;;;
17;AFC Bournemouth;15;3;4;8;15:34;-19;13;;;;;;
18;Southampton FC;15;3;3;9;12:26;-14;12;;;;;;
19;Wolverhampton Wanderers;15;2;4;9;8:24;-16;10;;;;;;
20;Nottingham Forest;15;2;4;9;11:32;-21;10;;;;;;
