Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;30;23;4;3;72:29;43;73;;;;;;
2;Manchester City;30;22;4;4;78:27;51;70;;;;;;
3;Newcastle United;30;16;11;3;52:22;30;59;;;;;;
4;Manchester United;30;17;5;8;44:38;6;56;;;;;;
5;Tottenham Hotspur;30;16;5;9;55:42;13;53;;;;;;
6;Brighton & Hove Albion;30;14;7;9;54:40;14;49;;;;;;
7;Liverpool FC;30;13;8;9;51:35;16;47;;;;;;
8;Aston Villa;30;14;5;11;41:40;1;47;;;;;;
9;Brentford FC;30;10;13;7;47:40;7;43;;;;;;
10;Fulham FC;30;11;6;13;39:41;-2;39;;;;;;
11;Chelsea FC;30;10;9;11;29:31;-2;39;;;;;;
12;Crystal Palace;30;8;9;13;29:40;-11;33;;;;;;
13;Wolverhampton Wanderers;30;8;7;15;24:42;-18;31;;;;;;
14;West Ham United;30;8;6;16;27:42;-15;30;;;;;;
15;AFC Bournemouth;30;8;6;16;28:57;-29;30;;;;;;
16;Leeds United;30;7;8;15;39:54;-15;29;;;;;;
17;Everton FC;30;6;9;15;23:43;-20;27;;;;;;
18;Nottingham Forest;30;6;9;15;24:54;-30;27;;;;;;
19;Leicester City;30;7;4;19;40:52;-12;25;;;;;;
20;Southampton FC;30;6;5;19;24:51;-27;23;;;;;;
