Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;28;22;3;3;66:26;40;69;;;;;;
2;Manchester City;28;20;4;4;70:25;45;64;;;;;;
3;Newcastle United;28;14;11;3;48:21;27;53;;;;;;
4;Manchester United;28;16;5;7;42:36;6;53;;;;;;
5;Tottenham Hotspur;28;15;4;9;52:40;12;49;;;;;;
6;Brighton & Hove Albion;28;14;6;8;50:35;15;48;;;;;;
7;Liverpool FC;28;13;7;8;48:29;19;46;;;;;;
8;Brentford FC;28;10;12;6;43:35;8;42;;;;;;
9;Aston Villa;28;12;5;11;37:40;-3;41;;;;;;
10;Chelsea FC;28;10;9;9;29:28;1;39;;;;;;
11;Fulham FC;28;11;6;11;38:38;0;39;;;;;;
12;Leeds United;28;7;8;13;37:45;-8;29;;;;;;
13;Crystal Palace;28;6;9;13;22:38;-16;27;;;;;;
14;Wolverhampton Wanderers;28;7;6;15;22:41;-19;27;;;;;;
15;Everton FC;28;6;8;14;22:40;-18;26;;;;;;
16;Nottingham Forest;28;6;8;14;23:51;-28;26;;;;;;
17;Leicester City;28;7;4;17;39:49;-10;25;;;;;;
18;West Ham United;28;6;6;16;25:42;-17;24;;;;;;
19;AFC Bournemouth;28;6;6;16;25:56;-31;24;;;;;;
20;Southampton FC;28;6;5;17;23:46;-23;23;;;;;;
