Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Manchester City;35;26;5;4;90:32;58;83;;;;;;
2;Arsenal FC;35;25;6;4;83:39;44;81;;;;;;
3;Newcastle United;35;19;11;5;65:30;35;68;;;;;;
4;Manchester United;35;20;6;9;53:42;11;66;;;;;;
5;Liverpool FC;35;18;8;9;67:42;25;62;;;;;;
6;Tottenham Hotspur;35;17;6;12;64:57;7;57;;;;;;
7;Brighton & Hove Albion;35;16;8;11;65:50;15;56;;;;;;
8;Aston Villa;35;16;6;13;46:43;3;54;;;;;;
9;Brentford FC;35;12;14;9;52:45;7;50;;;;;;
10;Fulham FC;35;14;6;15;50:49;1;48;;;;;;
11;Chelsea FC;35;11;9;15;35:43;-8;42;;;;;;
12;Crystal Palace;35;10;10;15;35:46;-11;40;;;;;;
13;Wolverhampton Wanderers;35;11;7;17;30:50;-20;40;;;;;;
14;AFC Bournemouth;35;11;6;18;37:67;-30;39;;;;;;
15;West Ham United;35;10;7;18;38:50;-12;37;;;;;;
16;Nottingham Forest;35;8;9;18;34:65;-31;33;;;;;;
17;Everton FC;35;7;11;17;32:53;-21;32;;;;;;
18;Leicester City;35;8;6;21;49:64;-15;30;;;;;;
19;Leeds United;35;7;9;19;44:69;-25;30;;;;;;
20;Southampton FC;35;6;6;23;31:64;-33;24;;;;;;
