Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Manchester City;34;25;5;4;88:31;57;80;;;;;;
2;Arsenal FC;34;24;6;4;81:39;42;78;;;;;;
3;Newcastle United;34;19;11;4;65:28;37;68;;;;;;
4;Manchester United;34;20;6;8;53:41;12;66;;;;;;
5;Liverpool FC;34;17;8;9;66:42;24;59;;;;;;
6;Brighton & Hove Albion;34;16;8;10;64:45;19;56;;;;;;
7;Tottenham Hotspur;34;16;6;12;63:57;6;54;;;;;;
8;Aston Villa;34;16;6;12;46:42;4;54;;;;;;
9;Brentford FC;34;12;14;8;52:44;8;50;;;;;;
10;Fulham FC;34;13;6;15;45:46;-1;45;;;;;;
11;Crystal Palace;34;10;10;14;35:45;-10;40;;;;;;
12;Chelsea FC;34;10;9;15;32:42;-10;39;;;;;;
13;AFC Bournemouth;34;11;6;17;36:64;-28;39;;;;;;
14;Wolverhampton Wanderers;34;10;7;17;29:50;-21;37;;;;;;
15;West Ham United;34;9;7;18;37:50;-13;34;;;;;;
16;Leicester City;34;8;6;20;46:59;-13;30;;;;;;
17;Leeds United;34;7;9;18;43:67;-24;30;;;;;;
18;Nottingham Forest;34;7;9;18;30:62;-32;30;;;;;;
19;Everton FC;34;6;11;17;27:52;-25;29;;;;;;
20;Southampton FC;34;6;6;22;28:60;-32;24;;;;;;
