Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;18;15;1;2;45:17;28;46;;;;;;
2;Manchester City;18;13;3;2;51:19;32;42;;;;;;
3;Newcastle United;18;10;7;1;37:12;25;37;;;;;;
4;Manchester United;18;10;4;4;27:23;4;34;;;;;;
5;Liverpool FC;18;9;5;4;35:19;16;32;;;;;;
6;Brighton & Hove Albion;18;9;3;6;31:24;7;30;;;;;;
7;Tottenham Hotspur;18;9;3;6;35:29;6;30;;;;;;
8;Fulham FC;18;8;4;6;31:28;3;28;;;;;;
9;Brentford FC;18;6;8;4;29:27;2;26;;;;;;
10;Chelsea FC;18;7;5;6;21:20;1;26;;;;;;
11;Aston Villa;18;7;3;8;21:26;-5;24;;;;;;
12;Crystal Palace;18;6;5;7;18:23;-5;23;;;;;;
13;Leeds United;18;5;5;8;27:32;-5;20;;;;;;
14;Leicester City;18;5;2;11;27:32;-5;17;;;;;;
15;AFC Bournemouth;18;4;4;10;18:38;-20;16;;;;;;
16;Everton FC;18;3;6;9;13:24;-11;15;;;;;;
17;West Ham United;18;4;2;12;14:27;-13;14;;;;;;
18;Nottingham Forest;18;3;5;10;13:36;-23;14;;;;;;
19;Wolverhampton Wanderers;18;3;4;11;10:28;-18;13;;;;;;
20;Southampton FC;18;3;3;12;15:34;-19;12;;;;;;
