Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Manchester City;2;2;0;0;6:0;6;6;;;;;;
2;Arsenal FC;2;2;0;0;6:2;4;6;;;;;;
3;Brentford FC;2;1;1;0;6:2;4;4;;;;;;
4;Tottenham Hotspur;2;1;1;0;6:3;3;4;;;;;;
5;Newcastle United;2;1;1;0;2:0;2;4;;;;;;
6;Leeds United;2;1;1;0;4:3;1;4;;;;;;
7;Chelsea FC;2;1;1;0;3:2;1;4;;;;;;
8;Brighton & Hove Albion;2;1;1;0;2:1;1;4;;;;;;
9;Aston Villa;2;1;0;1;2:3;-1;3;;;;;;
10;Nottingham Forest;2;1;0;1;1:2;-1;3;;;;;;
11;AFC Bournemouth;2;1;0;1;2:4;-2;3;;;;;;
12;Liverpool FC;2;0;2;0;3:3;0;2;;;;;;
13;Fulham FC;2;0;2;0;2:2;0;2;;;;;;
14;Wolverhampton Wanderers;2;0;1;1;1:2;-1;1;;;;;;
15;Leicester City;2;0;1;1;4:6;-2;1;;;;;;
16;Crystal Palace;2;0;1;1;1:3;-2;1;;;;;;
17;Southampton FC;2;0;1;1;3:6;-3;1;;;;;;
18;Everton FC;2;0;0;2;1:3;-2;0;;;;;;
19;West Ham United;2;0;0;2;0:3;-3;0;;;;;;
20;Manchester United;2;0;0;2;1:6;-5;0;;;;;;
