Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;9;8;0;1;24:8;16;24;;;;;;
2;Manchester City;9;7;2;0;33:11;22;23;;;;;;
3;Brighton & Hove Albion;9;6;2;1;17:8;9;20;;;;;;
4;Tottenham Hotspur;9;5;2;2;21:14;7;17;;;;;;
5;Liverpool FC;9;3;5;1;20:9;11;14;;;;;;
6;Newcastle United;9;3;5;1;17:9;8;14;;;;;;
7;Fulham FC;9;4;2;3;15:16;-1;14;;;;;;
8;Chelsea FC;9;4;2;3;11:12;-1;14;;;;;;
9;Manchester United;9;4;2;3;14:17;-3;14;;;;;;
10;Brentford FC;9;3;4;2;17:12;5;13;;;;;;
11;Leeds United;9;3;4;2;14:13;1;13;;;;;;
12;Aston Villa;9;3;2;4;8:11;-3;11;;;;;;
13;Everton FC;9;2;4;3;7:11;-4;10;;;;;;
14;AFC Bournemouth;9;2;3;4;6:21;-15;9;;;;;;
15;Crystal Palace;9;1;4;4;9:13;-4;7;;;;;;
16;Southampton FC;9;2;1;6;8:15;-7;7;;;;;;
17;West Ham United;9;2;1;6;6:14;-8;7;;;;;;
18;Wolverhampton Wanderers;9;1;3;5;3:11;-8;6;;;;;;
19;Leicester City;9;1;1;7;15:24;-9;4;;;;;;
20;Nottingham Forest;9;1;1;7;7:23;-16;4;;;;;;
