Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Manchester City;14;11;2;1;44:14;30;35;;;;;;
2;Arsenal FC;14;11;1;2;35:14;21;34;;;;;;
3;Newcastle United;14;7;6;1;29:11;18;27;;;;;;
4;Tottenham Hotspur;14;8;2;4;28:20;8;26;;;;;;
5;Manchester United;14;7;4;3;20:19;1;25;;;;;;
6;Brighton & Hove Albion;14;7;3;4;22:15;7;24;;;;;;
7;Fulham FC;14;6;4;4;24:23;1;22;;;;;;
8;Chelsea FC;14;6;4;4;18:17;1;22;;;;;;
9;Liverpool FC;14;5;5;4;25:15;10;20;;;;;;
10;Brentford FC;14;4;6;4;21:22;-1;18;;;;;;
11;Crystal Palace;14;4;5;5;14:18;-4;17;;;;;;
12;Leeds United;14;4;4;6;19:22;-3;16;;;;;;
13;Aston Villa;14;4;3;7;13:21;-8;15;;;;;;
14;Everton FC;14;3;5;6;11:16;-5;14;;;;;;
15;West Ham United;14;4;2;8;12:18;-6;14;;;;;;
16;AFC Bournemouth;14;3;4;7;12:30;-18;13;;;;;;
17;Southampton FC;14;3;3;8;11:22;-11;12;;;;;;
18;Leicester City;14;3;2;9;22:27;-5;11;;;;;;
19;Wolverhampton Wanderers;14;2;4;8;6:21;-15;10;;;;;;
20;Nottingham Forest;14;2;3;9;9:30;-21;9;;;;;;
