Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;5;5;0;0;13:4;9;15;;;;;;
2;Manchester City;5;4;1;0;19:5;14;13;;;;;;
3;Tottenham Hotspur;5;3;2;0;10:4;6;11;;;;;;
4;Brighton & Hove Albion;5;3;1;1;6:3;3;10;;;;;;
5;Manchester United;5;3;0;2;5:7;-2;9;;;;;;
6;Liverpool FC;5;2;2;1;15:6;9;8;;;;;;
7;Leeds United;5;2;2;1;8:5;3;8;;;;;;
8;Fulham FC;5;2;2;1;8:7;1;8;;;;;;
9;Southampton FC;5;2;1;2;7:9;-2;7;;;;;;
10;Chelsea FC;5;2;1;2;6:8;-2;7;;;;;;
11;Brentford FC;5;1;3;1;10:7;3;6;;;;;;
12;Newcastle United;5;1;3;1;7:6;1;6;;;;;;
13;Crystal Palace;5;1;2;2;7:9;-2;5;;;;;;
14;West Ham United;5;1;1;3;2:6;-4;4;;;;;;
15;Nottingham Forest;5;1;1;3;2:11;-9;4;;;;;;
16;AFC Bournemouth;5;1;1;3;2:16;-14;4;;;;;;
17;Everton FC;5;0;3;2;4:6;-2;3;;;;;;
18;Wolverhampton Wanderers;5;0;3;2;2:4;-2;3;;;;;;
19;Aston Villa;5;1;0;4;4:9;-5;3;;;;;;
20;Leicester City;5;0;1;4;6:11;-5;1;;;;;;
