Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;31;23;5;3;74:31;43;74;;;;;;
2;Manchester City;31;23;4;4;81:28;53;73;;;;;;
3;Newcastle United;31;16;11;4;52:25;27;59;;;;;;
4;Manchester United;31;18;5;8;46:38;8;59;;;;;;
5;Tottenham Hotspur;31;16;5;10;57:45;12;53;;;;;;
6;Brighton & Hove Albion;31;15;7;9;56:41;15;52;;;;;;
7;Liverpool FC;31;14;8;9;57:36;21;50;;;;;;
8;Aston Villa;31;15;5;11;44:40;4;50;;;;;;
9;Brentford FC;31;10;13;8;47:42;5;43;;;;;;
10;Fulham FC;31;12;6;13;42:42;0;42;;;;;;
11;Chelsea FC;31;10;9;12;30:33;-3;39;;;;;;
12;Crystal Palace;31;9;9;13;31:40;-9;36;;;;;;
13;Wolverhampton Wanderers;31;9;7;15;26:42;-16;34;;;;;;
14;AFC Bournemouth;31;9;6;16;31:59;-28;33;;;;;;
15;West Ham United;31;8;7;16;29:44;-15;31;;;;;;
16;Leeds United;31;7;8;16;40:60;-20;29;;;;;;
17;Everton FC;31;6;9;16;24:46;-22;27;;;;;;
18;Nottingham Forest;31;6;9;16;24:56;-32;27;;;;;;
19;Leicester City;31;7;4;20;41:55;-14;25;;;;;;
20;Southampton FC;31;6;5;20;24:53;-29;23;;;;;;
