Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;16;13;1;2;38:14;24;40;;;;;;
2;Manchester City;16;12;2;2;47:17;30;38;;;;;;
3;Newcastle United;16;9;6;1;34:12;22;33;;;;;;
4;Tottenham Hotspur;16;9;2;5;33:25;8;29;;;;;;
5;Manchester United;16;8;4;4;23:23;0;28;;;;;;
6;Brighton & Hove Albion;16;8;3;5;26:19;7;27;;;;;;
7;Liverpool FC;16;7;5;4;30:17;13;26;;;;;;
8;Brentford FC;16;5;7;4;25:25;0;22;;;;;;
9;Fulham FC;16;6;4;6;26:27;-1;22;;;;;;
10;Chelsea FC;16;6;4;6;18:19;-1;22;;;;;;
11;Aston Villa;16;6;3;7;18:23;-5;21;;;;;;
12;Crystal Palace;16;5;5;6;16:20;-4;20;;;;;;
13;Leeds United;16;5;4;7;26:29;-3;19;;;;;;
14;Leicester City;16;5;2;9;26:27;-1;17;;;;;;
15;AFC Bournemouth;16;4;4;8;18:34;-16;16;;;;;;
16;West Ham United;16;4;2;10;13:22;-9;14;;;;;;
17;Everton FC;16;3;5;8;11:21;-10;14;;;;;;
18;Nottingham Forest;16;3;4;9;12:32;-20;13;;;;;;
19;Southampton FC;16;3;3;10;13:29;-16;12;;;;;;
20;Wolverhampton Wanderers;16;2;4;10;8:26;-18;10;;;;;;
