Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;32;23;6;3;77:34;43;75;;;;;;
2;Manchester City;32;23;5;4;82:29;53;74;;;;;;
3;Newcastle United;32;17;11;4;58:26;32;62;;;;;;
4;Manchester United;32;19;5;8;50:39;11;62;;;;;;
5;Liverpool FC;32;15;8;9;60:38;22;53;;;;;;
6;Brighton & Hove Albion;32;15;8;9;57:42;15;53;;;;;;
7;Tottenham Hotspur;32;16;5;11;58:51;7;53;;;;;;
8;Aston Villa;32;15;6;11;45:41;4;51;;;;;;
9;Fulham FC;32;13;6;13;44:43;1;45;;;;;;
10;Brentford FC;32;10;14;8;48:43;5;44;;;;;;
11;Chelsea FC;32;10;9;13;31:37;-6;39;;;;;;
12;Crystal Palace;32;9;10;13;31:40;-9;37;;;;;;
13;West Ham United;32;9;7;16;33:44;-11;34;;;;;;
14;Wolverhampton Wanderers;32;9;7;16;27:44;-17;34;;;;;;
15;AFC Bournemouth;32;9;6;17;31:63;-32;33;;;;;;
16;Leeds United;32;7;8;17;41:62;-21;29;;;;;;
17;Leicester City;32;8;4;20;43:56;-13;28;;;;;;
18;Everton FC;32;6;10;16;24:46;-22;28;;;;;;
19;Nottingham Forest;32;6;9;17;26:59;-33;27;;;;;;
20;Southampton FC;32;6;6;20;27:56;-29;24;;;;;;
