Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;29;23;3;3;70:27;43;72;;;;;;
2;Manchester City;29;21;4;4;74:26;48;67;;;;;;
3;Newcastle United;29;15;11;3;50:21;29;56;;;;;;
4;Manchester United;29;16;5;8;42:38;4;53;;;;;;
5;Tottenham Hotspur;29;15;5;9;53:41;12;50;;;;;;
6;Brighton & Hove Albion;29;14;7;8;53:38;15;49;;;;;;
7;Liverpool FC;29;13;7;9;49:33;16;46;;;;;;
8;Aston Villa;29;13;5;11;39:40;-1;44;;;;;;
9;Brentford FC;29;10;13;6;46:38;8;43;;;;;;
10;Fulham FC;29;11;6;12;39:40;-1;39;;;;;;
11;Chelsea FC;29;10;9;10;29:30;-1;39;;;;;;
12;Crystal Palace;29;7;9;13;24:39;-15;30;;;;;;
13;Leeds United;29;7;8;14;38:49;-11;29;;;;;;
14;Wolverhampton Wanderers;29;7;7;15;23:42;-19;28;;;;;;
15;West Ham United;29;7;6;16;26:42;-16;27;;;;;;
16;Everton FC;29;6;9;14;23:41;-18;27;;;;;;
17;Nottingham Forest;29;6;9;14;24:52;-28;27;;;;;;
18;AFC Bournemouth;29;7;6;16;27:57;-30;27;;;;;;
19;Leicester City;29;7;4;18;40:51;-11;25;;;;;;
20;Southampton FC;29;6;5;18;23:47;-24;23;;;;;;
