Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Manchester City;33;24;5;4;86:30;56;77;;;;;;
2;Arsenal FC;33;23;6;4;78:38;40;75;;;;;;
3;Newcastle United;33;18;11;4;62:27;35;65;;;;;;
4;Manchester United;33;19;6;8;52:41;11;63;;;;;;
5;Liverpool FC;33;16;8;9;62:39;23;56;;;;;;
6;Tottenham Hotspur;33;16;6;11;60:53;7;54;;;;;;
7;Aston Villa;33;16;6;11;46:41;5;54;;;;;;
8;Brighton & Hove Albion;33;15;8;10;58:45;13;53;;;;;;
9;Brentford FC;33;11;14;8;50:43;7;47;;;;;;
10;Fulham FC;33;13;6;14;44:44;0;45;;;;;;
11;Chelsea FC;33;10;9;14;31:39;-8;39;;;;;;
12;Crystal Palace;33;9;10;14;31:42;-11;37;;;;;;
13;Wolverhampton Wanderers;33;10;7;16;29:44;-15;37;;;;;;
14;AFC Bournemouth;33;10;6;17;32:63;-31;36;;;;;;
15;West Ham United;33;9;7;17;34:46;-12;34;;;;;;
16;Leeds United;33;7;9;17;42:63;-21;30;;;;;;
17;Nottingham Forest;33;7;9;17;29:60;-31;30;;;;;;
18;Leicester City;33;8;5;20;44:57;-13;29;;;;;;
19;Everton FC;33;6;10;17;25:50;-25;28;;;;;;
20;Southampton FC;33;6;6;21;27:57;-30;24;;;;;;
