Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;17;14;1;2;41:15;26;43;;;;;;
2;Manchester City;17;13;2;2;50:18;32;41;;;;;;
3;Newcastle United;17;10;6;1;37:12;25;36;;;;;;
4;Manchester United;17;9;4;4;26:23;3;31;;;;;;
5;Brighton & Hove Albion;17;9;3;5;29:20;9;30;;;;;;
6;Tottenham Hotspur;17;9;3;5;35:27;8;30;;;;;;
7;Liverpool FC;17;8;5;4;33:18;15;29;;;;;;
8;Fulham FC;17;7;4;6;29:27;2;25;;;;;;
9;Chelsea FC;17;7;4;6;20:19;1;25;;;;;;
10;Brentford FC;17;5;8;4;27:27;0;23;;;;;;
11;Aston Villa;17;6;3;8;19:26;-7;21;;;;;;
12;Crystal Palace;17;5;5;7;16:23;-7;20;;;;;;
13;Leeds United;17;5;4;8;27:32;-5;19;;;;;;
14;Leicester City;17;5;2;10;26:30;-4;17;;;;;;
15;AFC Bournemouth;17;4;4;9;18:36;-18;16;;;;;;
16;West Ham United;17;4;2;11;14:25;-11;14;;;;;;
17;Everton FC;17;3;5;9;12:23;-11;14;;;;;;
18;Wolverhampton Wanderers;17;3;4;10;10:27;-17;13;;;;;;
19;Nottingham Forest;17;3;4;10;12:35;-23;13;;;;;;
20;Southampton FC;17;3;3;11;14:32;-18;12;;;;;;
