Position;Team;M;W;D;L;Goals;Dif;Pt;;;;;;
1;Arsenal FC;7;6;0;1;18:7;11;18;;;;;;
2;Manchester City;7;5;2;0;24:8;16;17;;;;;;
3;Brighton & Hove Albion;7;5;1;1;13:5;8;16;;;;;;
4;Tottenham Hotspur;7;4;2;1;14:9;5;14;;;;;;
5;Manchester United;7;4;1;2;9:9;0;13;;;;;;
6;Liverpool FC;7;3;3;1;17:6;11;12;;;;;;
7;Brentford FC;7;3;3;1;17:9;8;12;;;;;;
8;Leeds United;7;3;2;2;12:11;1;11;;;;;;
9;Fulham FC;7;3;2;2;11:10;1;11;;;;;;
10;Newcastle United;7;2;4;1;12:7;5;10;;;;;;
11;Chelsea FC;7;3;1;3;9:11;-2;10;;;;;;
12;Crystal Palace;7;1;4;2;8:10;-2;7;;;;;;
13;Aston Villa;7;2;1;4;7:11;-4;7;;;;;;
14;Southampton FC;7;2;1;4;7:12;-5;7;;;;;;
15;AFC Bournemouth;7;2;1;4;5:20;-15;7;;;;;;
16;Wolverhampton Wanderers;7;1;3;3;3:6;-3;6;;;;;;
17;Everton FC;7;0;4;3;4:10;-6;4;;;;;;
18;West Ham United;7;1;1;5;4:13;-9;4;;;;;;
19;Nottingham Forest;7;1;1;5;5:16;-11;4;;;;;;
20;Leicester City;7;0;1;6;9:18;-9;1;;;;;;
